epoch,D_atribute_loss_real,D_atribute_loss_fake,D_acc_real,D_acc_fake,G_loss
0.0,0.6532683372497559,1.2619045972824097,1.0,0.0,1.5856547355651855
1.0,0.4439384937286377,0.9807323217391968,1.0,0.0,1.733843445777893
2.0,0.4641275405883789,0.9150649309158325,1.0,0.0,1.8185062408447266
3.0,0.44843724370002747,0.8745086789131165,1.0,0.0,1.8432023525238037
4.0,0.3994809091091156,0.878393292427063,1.0,0.0,1.8863592147827148
5.0,0.3503209948539734,0.8381096124649048,1.0,0.0,1.9173935651779175
6.0,0.2614676356315613,0.8841853141784668,1.0,0.0,1.9576737880706787
7.0,0.2851012945175171,0.7628427743911743,1.0,0.0,2.020021915435791
8.0,0.1274743378162384,1.2758924961090088,1.0,0.0,2.127291679382324
9.0,0.29667988419532776,0.7383002042770386,1.0,0.0,2.1517980098724365
10.0,0.18320293724536896,1.6069350242614746,1.0,0.0,2.2707834243774414
11.0,0.4494958221912384,0.6899052858352661,0.9921875,0.8203125,2.1895391941070557
12.0,0.5123023390769958,1.932758092880249,0.796875,0.0,2.151196241378784
13.0,0.5573184490203857,0.8156781196594238,0.8125,0.0078125,2.1507747173309326
14.0,0.48104676604270935,0.7982743382453918,0.9921875,0.015625,2.154336929321289
15.0,0.19781839847564697,0.753576397895813,1.0,0.0,2.116349458694458
16.0,0.04212544858455658,0.8876899480819702,1.0,0.0,1.96609628200531
17.0,0.07050325721502304,0.7188714742660522,1.0,0.0,1.9631624221801758
18.0,0.11855633556842804,0.7166839838027954,1.0,0.0,1.93438720703125
19.0,0.06237196922302246,0.7120830416679382,1.0,0.0,1.9533170461654663
20.0,0.033262260258197784,0.7015210390090942,1.0,0.0,1.9897434711456299
21.0,0.020054668188095093,0.6965761184692383,1.0,0.0,2.0667362213134766
22.0,0.017252011224627495,0.6881914734840393,1.0,0.875,2.1828787326812744
23.0,0.010484674945473671,0.6667550206184387,1.0,0.9921875,2.2721073627471924
24.0,0.029915999621152878,0.6532293558120728,1.0,0.9921875,2.281247615814209
25.0,0.09020638465881348,0.6723928451538086,1.0,0.78125,2.368840217590332
26.0,0.04684688150882721,0.7866895198822021,1.0,0.1953125,2.7348875999450684
27.0,0.11174972355365753,0.5604075193405151,1.0,1.0,2.8613977432250977
28.0,0.05868532508611679,0.5268238186836243,1.0,1.0,3.020829200744629
29.0,0.027593059465289116,0.5067861080169678,1.0,1.0,3.3777997493743896
30.0,0.04295746237039566,0.47625356912612915,1.0,0.96875,3.4960920810699463
31.0,0.05815998464822769,0.5222296714782715,1.0,0.953125,3.930319309234619
32.0,0.45101025700569153,1.8370299339294434,0.84375,0.0,2.2194015979766846
33.0,0.03258352726697922,1.2193632125854492,1.0,0.0,3.186866283416748
34.0,1.2590811252593994,0.664305567741394,0.0,0.7109375,2.3886966705322266
35.0,0.5950826406478882,0.8809741139411926,0.734375,0.0,2.2884750366210938
36.0,0.4261181354522705,0.8467295169830322,0.921875,0.0,2.518230438232422
37.0,0.4343177080154419,0.77303147315979,0.96875,0.0,2.623852252960205
38.0,0.4828796982765198,0.7752898931503296,0.90625,0.0,2.6230711936950684
39.0,0.43614086508750916,0.7125768661499023,0.9140625,0.390625,2.7885076999664307
40.0,0.3958858549594879,0.6497721672058105,0.9765625,0.828125,3.026540756225586
41.0,0.24227848649024963,0.5489766597747803,0.984375,1.0,3.3517415523529053
42.0,0.18629226088523865,0.619431734085083,0.9765625,0.8046875,3.706401824951172
43.0,0.3447960615158081,0.38742244243621826,0.8671875,1.0,3.4471983909606934
44.0,0.11620385944843292,0.4713052213191986,0.984375,0.9921875,3.8731563091278076
45.0,0.18686418235301971,0.31424814462661743,0.953125,1.0,3.935382843017578
46.0,0.08150316774845123,0.39605802297592163,0.96875,0.9921875,4.098836898803711
47.0,0.1675799936056137,0.2901756167411804,0.953125,1.0,3.922994613647461
48.0,0.12514954805374146,0.5565675497055054,0.9609375,0.8828125,4.073866367340088
49.0,0.2717241644859314,0.3458523452281952,0.890625,0.9921875,3.7252650260925293
50.0,0.0995461493730545,1.0678783655166626,0.9921875,0.0859375,4.638890266418457
