epoch,D_loss,D_acc,G_loss
0.0,1.0246636867523193,0.0,0.5334783792495728
1.0,0.6966379880905151,0.5,0.6470017433166504
2.0,0.6865975856781006,0.5,0.6973924040794373
3.0,0.6721252202987671,0.5,0.7241437435150146
4.0,0.6570034027099609,0.5,0.7485442757606506
5.0,0.6359755992889404,0.46875,0.7635765075683594
6.0,0.585952639579773,0.5,0.8018945455551147
7.0,0.45880937576293945,1.0,0.8279898762702942
8.0,0.9566593766212463,0.5,0.8897706866264343
9.0,0.4267449378967285,0.96875,0.9152754545211792
10.0,0.7841637134552002,0.5,0.9734833240509033
11.0,0.5148888826370239,0.875,0.9301508665084839
12.0,1.084597110748291,0.46875,0.9390138983726501
13.0,0.6098418235778809,0.71875,0.9193464517593384
14.0,0.7274656891822815,0.4375,0.9139188528060913
15.0,0.5095654726028442,0.9375,0.9176793098449707
16.0,0.3361072838306427,0.96875,0.9507244229316711
17.0,0.27677077054977417,1.0,0.9513148069381714
18.0,0.32078319787979126,0.96875,0.9011861681938171
19.0,0.3404551148414612,0.96875,0.9255826473236084
20.0,0.3211548328399658,1.0,0.9043401479721069
21.0,0.340162456035614,0.90625,0.9528429508209229
22.0,0.2839428782463074,1.0,0.9533870816230774
23.0,0.26285165548324585,1.0,0.9723843932151794
24.0,0.24363388121128082,1.0,1.0158276557922363
25.0,0.2641759216785431,0.96875,1.1313095092773438
26.0,0.2083125114440918,1.0,1.1931740045547485
27.0,0.20767167210578918,1.0,1.2370399236679077
28.0,0.17206726968288422,1.0,1.3717007637023926
29.0,0.1407804787158966,1.0,1.5254031419754028
30.0,0.10884472727775574,1.0,1.8272181749343872
31.0,0.09758026897907257,1.0,2.189089775085449
32.0,0.08931300044059753,1.0,2.3016319274902344
33.0,0.06375288218259811,1.0,2.5726888179779053
34.0,0.050264373421669006,1.0,3.0698330402374268
35.0,0.8255800008773804,0.46875,1.3037158250808716
36.0,2.360722303390503,0.5,3.176473379135132
37.0,3.0679080486297607,0.0,0.1657167375087738
38.0,1.5519622564315796,0.5,0.45824217796325684
39.0,0.5469878911972046,0.5,1.2700581550598145
40.0,0.6005100607872009,0.75,1.2649376392364502
41.0,0.6022140979766846,0.84375,1.0679268836975098
42.0,0.4628884196281433,0.84375,1.401499629020691
43.0,0.5470438003540039,0.90625,1.3394246101379395
44.0,0.5065864324569702,0.875,1.3303039073944092
45.0,0.6864106059074402,0.40625,1.0118379592895508
46.0,0.5190969705581665,0.59375,1.1539950370788574
47.0,0.5787757635116577,0.8125,1.155594825744629
48.0,0.38052451610565186,0.96875,1.4782748222351074
49.0,0.2412634789943695,1.0,1.6520296335220337
50.0,0.27419513463974,0.96875,1.6715415716171265
51.0,0.4418390095233917,0.78125,1.7029023170471191
